901.txt                                 
    f [Hz]  Sp [m2s]
    0.2400    0.5816
    0.2408    0.5851
    0.2417    0.5925
    0.2425    0.5977
    0.2433    0.6064
    0.2442    0.6158
    0.2450    0.6265
    0.2458    0.6388
    0.2467    0.6485
    0.2475    0.6574
    0.2483    0.6648
    0.2492    0.6711
    0.2500    0.6753
    0.2508    0.6771
    0.2517    0.6766
    0.2525    0.6751
    0.2533    0.6713
    0.2542    0.6707
    0.2550    0.6684
    0.2558    0.6641
    0.2567    0.6593
    0.2575    0.6527
    0.2583    0.6450
    0.2592    0.6358
    0.2600    0.6277
    0.2608    0.6194
    0.2617    0.6115
    0.2625    0.6046
    0.2633    0.5970
    0.2642    0.5872
    0.2650    0.5761
    0.2658    0.5643
    0.2667    0.5535
    0.2675    0.5513
    0.2683    0.5469
    0.2692    0.5409
    0.2700    0.5333
    0.2708    0.5255
    0.2717    0.5162
    0.2725    0.5055
    0.2733    0.4927
    0.2742    0.4862
    0.2750    0.4810
    0.2758    0.4751
    0.2767    0.4673
    0.2775    0.4599
    0.2783    0.4534
    0.2792    0.4470
    0.2800    0.4408
    0.2808    0.4329
    0.2817    0.4257
    0.2825    0.4189
    0.2833    0.4116
    0.2842    0.4034
    0.2850    0.3998
    0.2858    0.3952
    0.2867    0.3920
    0.2875    0.3884
    0.2883    0.3858
    0.2892    0.3830
    0.2900    0.3797
    0.2908    0.3764
    0.2917    0.3729
    0.2925    0.3682
    0.2933    0.3623
    0.2942    0.3572
    0.2950    0.3506
    0.2958    0.3459
    0.2967    0.3408
    0.2975    0.3344
    0.2983    0.3282
    0.2992    0.3226
    0.3000    0.3180
    0.3008    0.3127
    0.3017    0.3077
    0.3025    0.3031
    0.3033    0.2987
    0.3042    0.2952
    0.3050    0.2906
    0.3058    0.2863
    0.3067    0.2808
    0.3075    0.2748
    0.3083    0.2705
    0.3092    0.2710
    0.3100    0.2715
    0.3108    0.2723
    0.3117    0.2727
    0.3125    0.2733
    0.3133    0.2729
    0.3142    0.2725
    0.3150    0.2713
    0.3158    0.2701
    0.3167    0.2695
    0.3175    0.2689
    0.3183    0.2686
    0.3192    0.2677
    0.3200    0.2665
    0.3208    0.2654
    0.3217    0.2635
    0.3225    0.2611
    0.3233    0.2585
    0.3242    0.2550
    0.3250    0.2515
    0.3258    0.2480
    0.3267    0.2436
    0.3275    0.2395
    0.3283    0.2354
    0.3292    0.2308
    0.3300    0.2281
    0.3308    0.2245
    0.3317    0.2210
    0.3325    0.2171
    0.3333    0.2133
    0.3342    0.2093
    0.3350    0.2048
    0.3358    0.2002
    0.3367    0.1951
    0.3375    0.1908
    0.3383    0.1858
    0.3392    0.1802
    0.3400    0.1745
    0.3408    0.1698
    0.3417    0.1654
    0.3425    0.1602
    0.3433    0.1547
    0.3442    0.1500
    0.3450    0.1459
    0.3458    0.1430
    0.3467    0.1401
    0.3475    0.1384
    0.3483    0.1366
    0.3492    0.1345
    0.3500    0.1328
    0.3508    0.1308
    0.3517    0.1293
    0.3525    0.1285
    0.3533    0.1275
    0.3542    0.1263
    0.3550    0.1247
    0.3558    0.1237
    0.3567    0.1226
    0.3575    0.1219
    0.3583    0.1210
    0.3592    0.1200
    0.3600    0.1197
    0.3608    0.1194
    0.3617    0.1188
    0.3625    0.1182
    0.3633    0.1172
    0.3642    0.1165
    0.3650    0.1164
    0.3658    0.1159
    0.3667    0.1150
    0.3675    0.1138
    0.3683    0.1127
    0.3692    0.1128
    0.3700    0.1132
    0.3708    0.1134
    0.3717    0.1140
    0.3725    0.1141
    0.3733    0.1139
    0.3742    0.1137
    0.3750    0.1133
    0.3758    0.1125
    0.3767    0.1116
    0.3775    0.1101
    0.3783    0.1087
    0.3792    0.1069
    0.3800    0.1048
    0.3808    0.1024
    0.3817    0.1003
    0.3825    0.0979
